codigo_centro,nome_centro,coord,instit,website,nr_inv,nr_phd,nr_phd_int,nr_grupos,aval_2007
CIVE-Centro-Coimbra-148,Centro de Investigação em Engenharia Civil,António José Pais Antunes,Faculdade de Ciências e Tecnologia - Universidade de Coimbra,http://www.dec.uc.pt/~ciec/,47,26,14,2,Good
CIVE-LVT-Almada-635,Centro de Investigação em Estruturas e Construção da UNL - UNIC,Manuel Americo de Jesus Goncalves da Silva,Faculdade de Ciências e Tecnologia - Universidade Nova de Lisboa,http://www.dec.fct.unl.pt/UNIC/,29,18,9,5,Good
CIVE-LVT-Lisboa-93,Centro de Sistemas Urbanos e Regionais - CESUR,João Torres de Quinhones Levy,Instituto Superior Técnico - Universidade de Lisboa,http://cesur.civil.ist.utl.pt/,20,20,20,3,Very Good
CIVE-Norte-Braga-4047,"Centro de Território, Ambiente e Construção",Paulo António Alves Pereira,Universidade do Minho,http://www.civil.uminho.pt/c-tac,81,47,15,2,Good
CIVE-LVT-Lisboa-76,"Instituto de Engenharia de Estruturas, Território e Construção - ICIST",Jorge Manuel Caliço Lopes de Brito,Instituto Superior Técnico - Universidade de Lisboa,http://www.civil.ist.utl.pt/ic/,150,73,51,6,Very Good
CIVE-Norte-Braga-4029,ISISE – Institute for sustainability and innovation in structural engineering,PAULO JOSÉ BRANDÃO BARBOSA LOURENÇO,Universidade do Minho,http://www.isise.net,70,29,16,3,Very Good
CIVE-Norte-Porto-717,Laboratório da Tecnologia do Betão e do Comportamento Estrutural - LABEST,Joaquim Azevedo Figueiras,Faculdade de Engenharia - Universidade do Porto,http://paginas.fe.up.pt/labest/,37,15,9,2,Very Good
MECH-Centro-Covilha-4034,AeroG - Aeronautics and Astronautics Research Center,Jorge Manuel Martins Barata,Universidade da Beira Interior, http://aeronautics.ubi.pt,14,7,4,1,Very Good
MECH-Centro-Covilha-151,Centre for Aerospace Science and Technologies – CAST,Anna Guerman,Universidade da Beira Interior,www.aerospace.ubi.pt,33,20,10,5,Good
MECH-Norte-Braga-4077,Centre for Mechanics and Materials Technologies,António Augusto Sousa Miranda,Universidade do Minho,http://www.dem.uminho.pt,81,35,25,3,Very Good
MECH-LVT-Lisboa-670,Centro de Ciências e Tecnologias Aeronáuticas e Espaciais - CCTAE,Luis Manuel Braga da Costa Campos,Instituto Superior Técnico - Universidade de Lisboa,http://www.ist.utl.pt/html/id/,8,8,8,1,Good
MECH-Centro-Coimbra-285,Centro de Engenharia Mecânica,Luis Filipe Martins de Menezes,Faculdade de Ciências e Tecnologia - Universidade de Coimbra,n/a,117,74,69,6,Excellent
MECH-Norte-Porto-679,Centro de Estudos de Energia Eólica e Escoamentos Atmosféricos,José Manuel Laginha Mestre da Palma,Faculdade de Engenharia - Universidade do Porto,http://sigarra.up.pt/up/web_base.gera_pagina?p_pagina=2453,11,8,7,1,Very Good
MECH-Norte-Porto-532,Centro de Estudos de Fenómenos de Transporte,João Bernardo Lares Moreira de Campos,Faculdade de Engenharia - Universidade do Porto,http://paginas.fe.up.pt/~ceft/index.html,32,14,10,1,Excellent
MECH-Norte-Porto-615,Centro de Investigação e Desenvolvimento em Engenharia Mecânica - CIDEM,Luís Miguel Pereira Durão,Instituto Superior de Engenharia do Porto - Instituto Politécnico do Porto,http://www.ipp.pt/ipp.php?content=ID,6,6,6,1,Very Good
MECH-Centro-Aveiro-481,Centro de Tecnologia Mecânica e  Automação,José Joaquim Almeida Grácio,Universidade de Aveiro,http://www2.mec.ua.pt/tema/index.html,52,50,43,1,Excellent
MECH-Norte-Braga-252,Centro Interdisciplinar emTecnologias da Produção e Energia,JOSÉ CARLOS FERNANDES TEIXEIRA,Universidade do Minho,http://www.citepe.uminho.pt/,117,44,18,10,Good
MECH-LVT-Lisboa-4005,Centro Lusíada de Investigação e Desenvolvimento em Engenharia e Gestão Industrial,Rui Silva,"Fundação Minerva, Cultura, Ensino e Investigação Científica",http://clegi.fam.ulusiada.pt,21,16,10,2,Very Good
MECH-Centro-Leiria-4044,Centro para o Desenvolvimento Rápido e Sustentado de Produto,Paulo Jorge Silva Bartolo,Instituto Politécnico de Leiria,http://www.cdr-sp.ipleiria.pt,43,12,8,1,Excellent
